Fund Holdings as of,"27/jan/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SIE","SIEMENS N AG","Industrie","Aandelen","92.530.225,78","0,21","92.530.225,78","590.706,00","156,64","Duitsland","Xetra","EUR"
"AXP","AMERICAN EXPRESS","Financiële waarden","Aandelen","92.390.233,50","0,21","92.390.233,50","537.465,00","171,90","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aandelen","91.889.023,60","0,21","91.889.023,60","706.024,00","130,15","Verenigde Staten","NASDAQ","USD"
"GS","GOLDMAN SACHS GROUP INC","Financiële waarden","Aandelen","91.626.235,25","0,20","91.626.235,25","268.675,00","341,03","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financiële waarden","Aandelen","91.037.500,48","0,20","91.037.500,48","1.376.666,00","66,13","Australië","Asx - All Markets","AUD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aandelen","90.992.075,08","0,20","90.992.075,08","686.629,00","132,52","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrie","Aandelen","90.671.273,84","0,20","90.671.273,84","427.352,00","212,17","Verenigde Staten","New York Stock Exchange Inc.","USD"
"GSK","GLAXOSMITHKLINE PLC","Gezondheidszorg","Aandelen","88.332.352,23","0,20","88.332.352,23","3.923.798,00","22,51","Verenigd Koninkrijk","London Stock Exchange","GBP"
"DE","DEERE","Industrie","Aandelen","88.273.904,16","0,20","88.273.904,16","234.796,00","375,96","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SBUX","STARBUCKS CORP","Luxe-consumentengoederen","Aandelen","87.649.027,68","0,20","87.649.027,68","919.524,00","95,32","Verenigde Staten","NASDAQ","USD"
"PLD","PROLOGIS REIT INC","Vastgoed","Aandelen","85.327.700,92","0,19","85.327.700,92","574.172,00","148,61","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ANTM","ANTHEM INC","Gezondheidszorg","Aandelen","85.123.264,79","0,19","85.123.264,79","195.313,00","435,83","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Vastgoed","Aandelen","84.046.845,69","0,19","84.046.845,69","355.483,00","236,43","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BP.","BP PLC","Energie","Aandelen","82.815.218,58","0,19","82.815.218,58","15.755.241,00","5,26","Verenigd Koninkrijk","London Stock Exchange","GBP"
"OR","LOREAL SA","Basis-consumentengoederen","Aandelen","82.416.160,52","0,18","82.416.160,52","198.157,00","415,91","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"BA","BOEING","Industrie","Aandelen","82.330.817,25","0,18","82.330.817,25","433.891,00","189,75","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RDSA","SHELL PLC","Energie","Aandelen","81.881.222,83","0,18","81.881.222,83","3.185.801,00","25,70","Verenigd Koninkrijk","London Stock Exchange","GBP"
"NOW","SERVICENOW INC","IT","Aandelen","81.788.871,69","0,18","81.788.871,69","154.701,00","528,69","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ALV","ALLIANZ","Financiële waarden","Aandelen","81.166.519,00","0,18","81.166.519,00","318.328,00","254,98","Duitsland","Xetra","EUR"
"TGT","TARGET CORP","Luxe-consumentengoederen","Aandelen","80.541.830,56","0,18","80.541.830,56","379.592,00","212,18","Verenigde Staten","New York Stock Exchange Inc.","USD"
"GE","GENERAL ELECTRIC","Industrie","Aandelen","77.029.826,10","0,17","77.029.826,10","856.839,00","89,90","Verenigde Staten","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aandelen","76.602.459,48","0,17","76.602.459,48","196.881,00","389,08","Verenigde Staten","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financiële waarden","Aandelen","75.581.174,48","0,17","75.581.174,48","191.306,00","395,08","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Basis-consumentengoederen","Aandelen","75.529.291,50","0,17","75.529.291,50","1.119.450,00","67,47","Verenigde Staten","NASDAQ","USD"
"MMM","3M","Industrie","Aandelen","75.312.135,36","0,17","75.312.135,36","442.596,00","170,16","Verenigde Staten","New York Stock Exchange Inc.","USD"
"RDSB","SHELL CLASS B PLC","Energie","Aandelen","75.204.551,29","0,17","75.204.551,29","2.927.248,00","25,69","Verenigd Koninkrijk","London Stock Exchange","GBP"
"BHP","BHP GROUP LTD","Materialen","Aandelen","75.159.902,15","0,17","75.159.902,15","2.333.854,00","32,20","Australië","Asx - All Markets","AUD"
